"","c..AL627309.1....AL627309.5....LINC01409....LINC01128....LINC00115..."
"681","EFCAB14-AS1"
"682","EFCAB14"
"683","CYP4B1"
"684","CYP4A11"
"685","CYP4X1"
"686","CYP4Z1"
"687","CYP4A22-AS1"
"688","LINC00853"
"689","PDZK1IP1"
"690","TAL1"
"691","STIL"
"692","CMPK1"
"693","LINC01389"
"694","FOXD2"
"695","TRABD2B"
"696","AC096541.1"
"697","LINC02794"
"698","AL109659.1"
"699","SLC5A9"
"700","AL109659.2"
"701","SPATA6"
"702","AGBL4"
"703","BEND5"
"704","AL645507.1"
"705","AC099788.1"
"706","AL590432.1"
"707","FAF1"
"708","AL049637.1"
"709","CDKN2C"
"710","C1orf185"
"711","LINC01562"
"712","RNF11"
"713","AL162430.2"
"714","TTC39A"
"715","TTC39A-AS1"
"716","EPS15"
"717","AC104170.2"
"718","AC104170.1"
"719","OSBPL9"
"720","NRDC"
"721","AL050343.2"
"722","RAB3B"
"723","TXNDC12"
"724","KTI12"
"725","AL445685.1"
"726","BTF3L4"
"727","ZFYVE9"
"728","CC2D1B"
"729","AL513218.2"
"730","ORC1"
"731","PRPF38A"
"732","TUT4"
"733","GPX7"
"734","COA7"
"735","ZYG11B"
"736","ZYG11A"
"737","ECHDC2"
"738","SCP2"
"739","PODN"
"740","CPT2"
"741","AL606760.2"
"742","CZIB"
"743","MAGOH"
"744","AL606760.1"
"745","LRP8"
"746","GLIS1"
"747","NDC1"
"748","YIPF1"
"749","DIO1"
"750","HSPB11"
"751","LRRC42"
"752","TMEM59"
"753","TCEANC2"
"754","CYB5RL"
"755","MRPL37"
"756","SSBP3"
"757","ACOT11"
"758","FAM151A"
"759","AL590093.1"
"760","MROH7"
"761","TTC4"
"762","PARS2"
"763","TTC22"
"764","LEXM"
"765","DHCR24"
"766","AC096536.3"
"767","DHCR24-DT"
"768","TMEM61"
"769","AL590440.1"
"770","BSND"
"771","PCSK9"
"772","USP24"
"773","MIR4422HG"
"774","AL603840.1"
"775","AC119674.1"
"776","PLPP3"
"777","PRKAA2"
"778","FYB2"
"779","DAB1"
"780","AL445193.2"
"781","OMA1"
"782","AL035411.3"
"783","TACSTD2"
"784","MYSM1"
"785","AL136985.3"
"786","JUN"
"787","LINC01135"
"788","AL136985.1"
"789","LINC02777"
"790","LINC01358"
"791","FGGY"
"792","AL035416.1"
"793","HOOK1"
"794","CYP2J2"
"795","C1orf87"
"796","LINC02778"
"797","LINC01748"
"798","AC099792.1"
"799","NFIA"
"800","NFIA-AS2"
"801","TM2D1"
"802","AC099791.2"
"803","PATJ"
"804","L1TD1"
"805","KANK4"
"806","USP1"
"807","DOCK7"
"808","ANGPTL3"
"809","AC103923.1"
"810","ATG4C"
"811","LINC00466"
"812","ALG6"
"813","ITGB3BP"
"814","BX004807.1"
"815","EFCAB7"
"816","DLEU2L"
"817","PGM1"
"818","ROR1"
"819","ROR1-AS1"
"820","UBE2U"
"821","CACHD1"
"822","RAVER2"
"823","JAK1"
"824","LINC01359"
"825","AL357078.2"
"826","AK4"
"827","DNAJC6"
"828","AL139294.1"
"829","LEPROT"
"830","LEPR"
"831","AC119800.1"
"832","PDE4B"
"833","SGIP1"
"834","AL139147.1"
"835","TCTEX1D1"
"836","WDR78"
"837","MIER1"
"838","SLC35D1"
"839","C1orf141"
"840","IL23R"
"841","IL12RB2"
"842","SERBP1"
"843","GADD45A"
"844","GNG12"
"845","GNG12-AS1"
"846","DIRAS3"
"847","WLS"
"848","LINC01707"
"849","LRRC7"
"850","LRRC40"
"851","SRSF11"
"852","ANKRD13C"
"853","HHLA3"
"854","CTH"
"855","LINC01788"
"856","PTGER3"
"857","AL031429.1"
"858","AL031429.2"
"859","ZRANB2-AS1"
"860","ZRANB2"
"861","ZRANB2-AS2"
"862","NEGR1"
"863","AL513166.1"
"864","AL583808.1"
"865","AL591463.1"
"866","LRRIQ3"
"867","FPGT"
"868","TNNI3K"
"869","AC093158.1"
"870","ERICH3"
"871","ERICH3-AS1"
"872","AC135803.1"
"873","CRYZ"
"874","TYW3"
"875","SLC44A5"
"876","ACADM"
"877","RABGGTB"
"878","MSH4"
"879","ASB17"
"880","AC092813.1"
"881","AC092813.2"
"882","ST6GALNAC3"
"883","ST6GALNAC5"
"884","PIGK"
"885","AC093433.2"
"886","AK5"
"887","AC118549.1"
"888","USP33"
"889","MIGA1"
"890","NEXN-AS1"
"891","NEXN"
"892","FUBP1"
"893","DNAJB4"
"894","GIPC2"
"895","AC103591.3"
"896","AC096531.2"
"897","PTGFR"
"898","IFI44L"
"899","IFI44"
"900","ADGRL4"
"901","AL136234.1"
"902","LINC01781"
"903","ADGRL2"
"904","AL138799.4"
"905","AC117944.1"
"906","AL157944.1"
"907","LINC01362"
"908","LINC01361"
"909","AC116099.1"
"910","LINC01712"
"911","LINC01725"
"912","AL035706.1"
"913","TTLL7"
"914","TTLL7-IT1"
"915","AL359504.2"
"916","PRKACB"
"917","SAMD13"
"918","RPF1"
"919","SPATA1"
"920","CTBS"
"921","AL359762.1"
"922","SSX2IP"
"923","LPAR3"
"924","WDR63"
"925","MCOLN3"
"926","SYDE2"
"927","C1orf52"
"928","BCL10"
"929","AL078459.1"
"930","DDAH1"
"931","AC092807.3"
"932","CCN1"
"933","ZNHIT6"
"934","COL24A1"
"935","LINC02795"
"936","ODF2L"
"937","CLCA4-AS1"
"938","SH3GLB1"
"939","SELENOF"
"940","HS2ST1"
"941","AL121989.1"
"942","LMO4"
"943","PKN2-AS1"
"944","PKN2"
"945","GTF2B"
"946","KYAT3"
"947","RBMXL1"
"948","GBP3"
"949","GBP1"
"950","GBP2"
"951","GBP7"
"952","AL596214.1"
"953","LRRC8B"
"954","LRRC8C-DT"
"955","LRRC8C"
"956","AC099568.2"
"957","LRRC8D"
"958","ZNF326"
"959","AC098656.1"
"960","LINC02609"
"961","ZNF644"
"962","HFM1"
"963","CDC7"
"964","TGFBR3"
"965","EPHX4"
"966","BTBD8"
"967","GLMN"
"968","RPAP2"
"969","GFI1"
"970","EVI5"
"971","RPL5"
"972","DIPK1A"
"973","MTF2"
"974","TMED5"
"975","CCDC18"
"976","CCDC18-AS1"
"977","DR1"
"978","FNBP1L"
"979","BCAR3"
"980","AL109613.1"
"981","GCLM"
"982","ABCA4"
"983","ARHGAP29"
"984","ARHGAP29-AS1"
"985","AC097059.1"
"986","ABCD3"
"987","F3"
"988","SLC44A3"
"989","CNN3"
"990","AC105942.1"
"991","ALG14"
"992","TLCD4"
"993","AC092802.1"
"994","RWDD3"
"995","AC092802.2"
"996","LINC02607"
"997","PTBP2"
"998","DPYD"
"999","DPYD-AS1"
"1000","DPYD-IT1"
"1001","SNX7"
"1002","AL445433.2"
"1003","LINC01708"
"1004","PALMD"
"1005","FRRS1"
"1006","AGL"
"1007","SLC35A3"
"1008","MFSD14A"
"1009","AC093019.2"
"1010","SASS6"
"1011","TRMT13"
"1012","LRRC39"
"1013","DBT"
"1014","AL445928.2"
"1015","RTCA-AS1"
"1016","RTCA"
"1017","CDC14A"
"1018","AL589990.1"
"1019","LINC01349"
"1020","AC099670.3"
"1021","VCAM1"
"1022","EXTL2"
"1023","AC104506.1"
"1024","SLC30A7"
"1025","DPH5"
"1026","AC093157.1"
"1027","S1PR1"
"1028","COL11A1"
"1029","AC095032.1"
"1030","RNPC3"
"1031","AMY2B"
"1032","LINC01676"
"1033","AL355306.2"
"1034","PRMT6"
"1035","NTNG1"
"1036","VAV3"
"1037","VAV3-AS1"
"1038","LINC02785"
"1039","SLC25A24"
"1040","FAM102B"
"1041","HENMT1"
"1042","PRPF38B"
"1043","STXBP3"
"1044","AKNAD1"
"1045","GPSM2"
"1046","CLCC1"
"1047","WDR47"
"1048","TAF13"
"1049","AL356488.3"
"1050","TMEM167B"
"1051","AL356488.2"
"1052","C1orf194"
"1053","KIAA1324"
"1054","SARS"
"1055","CELSR2"
"1056","MYBPHL"
"1057","SORT1"
"1058","PSMA5"
"1059","SYPL2"
"1060","ATXN7L2"
"1061","CYB561D1"
"1062","AMIGO1"
"1063","GNAI3"
"1064","AL355310.1"
"1065","AMPD2"
"1066","GSTM4"
"1067","GSTM2"
"1068","AC000032.1"
"1069","GSTM5"
"1070","GSTM3"
"1071","EPS8L3"
"1072","LINC01768"
"1073","CSF1"
"1074","AHCYL1"
"1075","STRIP1"
"1076","AL160006.1"
"1077","ALX3"
"1078","SLC6A17"
"1079","LINC02586"
"1080","KCNC4"
"1081","RBM15-AS1"
"1082","RBM15"
"1083","LAMTOR5-AS1"
"1084","SLC16A4"
"1085","AL355488.1"
"1086","LAMTOR5"
"1087","AL365361.1"
"1088","CD53"
"1089","AL360270.2"
"1090","AL360270.1"
"1091","LRIF1"
"1092","DRAM2"
"1093","CEPT1"
"1094","AL355816.1"
"1095","AL355816.2"
"1096","DENND2D"
"1097","CHI3L2"
"1098","PIFO"
"1099","OVGP1"
"1100","AL390195.2"
"1101","AL390195.1"
"1102","WDR77"
"1103","ATP5PB"
"1104","RAP1A"
"1105","INKA2"
"1106","INKA2-AS1"
"1107","DDX20"
"1108","KCND3"
"1109","LINC01750"
"1110","AL445426.1"
"1111","CTTNBP2NL"
"1112","WNT2B"
"1113","ST7L"
"1114","CAPZA1"
"1115","MOV10"
"1116","AL603832.1"
"1117","RHOC"
"1118","PPM1J"
"1119","SLC16A1"
"1120","SLC16A1-AS1"
"1121","AL390242.1"
"1122","LRIG2-DT"
"1123","LRIG2"
"1124","MAGI3"
"1125","PHTF1"
"1126","RSBN1"
"1127","AL137856.1"
"1128","PTPN22"
"1129","AP4B1-AS1"
"1130","BCL2L15"
"1131","AP4B1"
"1132","DCLRE1B"
"1133","HIPK1-AS1"
"1134","HIPK1"
"1135","SYT6"
"1136","AL121999.1"
"1137","TRIM33"
"1138","BCAS2"
"1139","DENND2C"
"1140","NRAS"
"1141","CSDE1"
"1142","SIKE1"
"1143","SYCP1"
"1144","TSPAN2"
"1145","NGF-AS1"
"1146","NGF"
"1147","VANGL1"
"1148","SLC22A15"
"1149","AL365318.1"
"1150","MAB21L3"
"1151","ATP1A1"
"1152","ATP1A1-AS1"
"1153","LINC01762"
"1154","AL390066.1"
"1155","CD58"
"1156","IGSF3"
"1157","PTGFRN"
"1158","CD101"
"1159","AL445231.1"
"1160","TTF2"
"1161","TRIM45"
"1162","VTCN1"
"1163","LINC01525"
"1164","AL358072.1"
"1165","MAN1A2"
"1166","TENT5C"
"1167","GDAP2"
"1168","WDR3"
"1169","SPAG17"
"1170","TBX15"
"1171","WARS2"
"1172","WARS2-IT1"
"1173","WARS2-AS1"
"1174","AL359915.1"
"1175","LINC01780"
"1176","HAO2"
"1177","LINC00622"
"1178","ZNF697"
"1179","PHGDH"
"1180","HMGCS2"
"1181","NOTCH2"
"1182","SEC22B"
"1183","NBPF26"
"1184","LINC00623"
"1185","AC244453.3"
"1186","AC244453.1"
"1187","SRGAP2C"
"1188","SRGAP2-AS1"
"1189","LINC02798"
"1190","AC239800.2"
"1191","LINC02591"
"1192","HIST2H3PS2"
"1193","LINC02802"
"1194","AC246785.3"
"1195","NBPF15"
"1196","FP700111.1"
"1197","SRGAP2B"
"1198","FAM72D"
"1199","NBPF20"
"1200","GPR89A"
"1201","PDZK1"
"1202","CD160"
"1203","RNF115"
"1204","POLR3C"
"1205","NUDT17"
"1206","PIAS3"
"1207","ITGA10"
"1208","PEX11B"
"1209","RBM8A"
"1210","LIX1L-AS1"
"1211","LIX1L"
"1212","ANKRD34A"
"1213","POLR3GL"
"1214","TXNIP"
"1215","HJV"
"1216","LINC01719"
"1217","NBPF10"
"1218","NOTCH2NLA"
"1219","AC245407.2"
"1220","NBPF12"
"1221","PRKAB2"
"1222","AC242426.2"
"1223","FMO5"
"1224","CHD1L"
"1225","LINC00624"
"1226","BCL9"
"1227","ACP6"
"1228","GJA5"
"1229","AC241644.2"
"1230","GJA8"
"1231","GPR89B"
"1232","LINC02804"
"1233","NBPF11"
"1234","LINC02805"
"1235","AC239809.3"
"1236","LINC01138"
"1237","AC245100.1"
"1238","AC245100.6"
"1239","PPIAL4G"
"1240","NBPF14"
"1241","PDE4DIP"
"1242","NBPF9"
"1243","AC245297.3"
"1244","AC245297.2"
"1245","NOTCH2NLC"
"1246","NBPF19"
"1247","HIST2H2BF"
"1248","AC239868.1"
"1249","HIST2H2BE"
"1250","HIST2H2AC"
"1251","BOLA1"
"1252","SV2A"
"1253","SF3B4"
"1254","MTMR11"
"1255","OTUD7B"
"1256","AC244033.2"
"1257","VPS45"
"1258","PLEKHO1"
"1259","ANP32E"
"1260","APH1A"
"1261","C1orf54"
"1262","CIART"
"1263","MRPS21"
"1264","PRPF3"
"1265","RPRD2"
"1266","TARS2"
"1267","ECM1"
"1268","FALEC"
"1269","AL356356.1"
"1270","ADAMTSL4"
"1271","ADAMTSL4-AS1"
"1272","MCL1"
"1273","ENSA"
"1274","GOLPH3L"
"1275","HORMAD1"
"1276","CTSK"
"1277","ARNT"
"1278","SETDB1"
"1279","CERS2"
"1280","ANXA9"
"1281","MINDY1"
"1282","PRUNE1"
"1283","BNIPL"
"1284","CDC42SE1"
"1285","MLLT11"
"1286","GABPB2"
"1287","SEMA6C"
"1288","SCNM1"
"1289","LYSMD1"
"1290","VPS72"
"1291","PIP5K1A"
"1292","PSMD4"
"1293","ZNF687"
"1294","PI4KB"
"1295","RFX5"
"1296","SELENBP1"
"1297","PSMB4"
"1298","POGZ"
"1299","CGN"
"1300","TUFT1"
"1301","AL365436.2"
"1302","SNX27"
"1303","AL391335.1"
"1304","RIIAD1"
"1305","MRPL9"
