"","c..AL627309.1....AL627309.5....LINC01409....LINC01128....LINC00115..."
"1306","OAZ3"
"1307","TDRKH"
"1308","TDRKH-AS1"
"1309","AL589765.6"
"1310","LINGO4"
"1311","RORC"
"1312","C2CD4D"
"1313","C2CD4D-AS1"
"1314","THEM4"
"1315","AL450992.2"
"1316","AL450992.3"
"1317","S100A10"
"1318","AL450992.1"
"1319","S100A11"
"1320","FLG-AS1"
"1321","HRNR"
"1322","FLG"
"1323","FLG2"
"1324","SPRR2D"
"1325","SPRR2A"
"1326","S100A6"
"1327","S100A3"
"1328","S100A2"
"1329","BX470102.2"
"1330","S100A16"
"1331","S100A14"
"1332","S100A13"
"1333","S100A1"
"1334","AL162258.2"
"1335","CHTOP"
"1336","SNAPIN"
"1337","ILF2"
"1338","NPR1"
"1339","INTS3"
"1340","AL513523.3"
"1341","SLC27A3"
"1342","GATAD2B"
"1343","AL358472.5"
"1344","DENND4B"
"1345","CRTC2"
"1346","SLC39A1"
"1347","AL358472.4"
"1348","AL358472.3"
"1349","CREB3L4"
"1350","JTB"
"1351","RAB13"
"1352","NUP210L"
"1353","TPM3"
"1354","C1orf189"
"1355","C1orf43"
"1356","UBAP2L"
"1357","HAX1"
"1358","ATP8B2"
"1359","IL6R"
"1360","SHE"
"1361","TDRD10"
"1362","UBE2Q1"
"1363","ADAR"
"1364","KCNN3"
"1365","PMVK"
"1366","PBXIP1"
"1367","PYGO2"
"1368","AL451085.2"
"1369","SHC1"
"1370","CKS1B"
"1371","FLAD1"
"1372","ZBTB7B"
"1373","DCST2"
"1374","DCST1"
"1375","ADAM15"
"1376","EFNA4"
"1377","EFNA3"
"1378","EFNA1"
"1379","SLC50A1"
"1380","DPM3"
"1381","KRTCAP2"
"1382","TRIM46"
"1383","MUC1"
"1384","AC234582.1"
"1385","THBS3"
"1386","GBA"
"1387","FAM189B"
"1388","SCAMP3"
"1389","CLK2"
"1390","HCN3"
"1391","PKLR"
"1392","FDPS"
"1393","RUSC1-AS1"
"1394","RUSC1"
"1395","ASH1L"
"1396","ASH1L-IT1"
"1397","ASH1L-AS1"
"1398","MSTO1"
"1399","AL353807.5"
"1400","YY1AP1"
"1401","DAP3"
"1402","AL162734.1"
"1403","GON4L"
"1404","SYT11"
"1405","RIT1"
"1406","KHDC4"
"1407","ARHGEF2"
"1408","AL355388.2"
"1409","AL355388.3"
"1410","SSR2"
"1411","UBQLN4"
"1412","RAB25"
"1413","MEX3A"
"1414","LMNA"
"1415","SEMA4A"
"1416","SLC25A44"
"1417","PMF1"
"1418","BGLAP"
"1419","PAQR6"
"1420","SMG5"
"1421","TMEM79"
"1422","GLMP"
"1423","CCT3"
"1424","TSACC"
"1425","RHBG"
"1426","MEF2D"
"1427","IQGAP3"
"1428","NAXE"
"1429","GPATCH4"
"1430","AL365181.2"
"1431","AL365181.3"
"1432","AL590666.2"
"1433","NES"
"1434","CRABP2"
"1435","ISG20L2"
"1436","RRNAD1"
"1437","MRPL24"
"1438","HDGF"
"1439","PRCC"
"1440","SH2D2A"
"1441","NTRK1"
"1442","INSRR"
"1443","PEAR1"
"1444","LRRC71"
"1445","ARHGEF11"
"1446","ETV3"
"1447","FCRL5"
"1448","KIRREL1"
"1449","PYHIN1"
"1450","IFI16"
"1451","AIM2"
"1452","CADM3"
"1453","CADM3-AS1"
"1454","ACKR1"
"1455","FCER1A"
"1456","DUSP23"
"1457","FCRL6"
"1458","AL590560.2"
"1459","VSIG8"
"1460","AL590560.3"
"1461","CFAP45"
"1462","TAGLN2"
"1463","IGSF9"
"1464","LINC01133"
"1465","KCNJ10"
"1466","PIGM"
"1467","AL121987.1"
"1468","IGSF8"
"1469","AL121987.2"
"1470","PEA15"
"1471","DCAF8"
"1472","AL139011.1"
"1473","PEX19"
"1474","COPA"
"1475","NCSTN"
"1476","VANGL2"
"1477","SLAMF6"
"1478","AL121985.1"
"1479","SLAMF7"
"1480","LY9"
"1481","CD244"
"1482","F11R"
"1483","TSTD1"
"1484","USF1"
"1485","ARHGAP30"
"1486","NECTIN4"
"1487","KLHDC9"
"1488","PFDN2"
"1489","NIT1"
"1490","DEDD"
"1491","UFC1"
"1492","USP21"
"1493","PPOX"
"1494","B4GALT3"
"1495","ADAMTS4"
"1496","NDUFS2"
"1497","TOMM40L"
"1498","PCP4L1"
"1499","SDHC"
"1500","CFAP126"
"1501","AL592295.4"
"1502","AL592295.5"
"1503","AL592295.3"
"1504","DUSP12"
"1505","ATF6"
"1506","OLFML2B"
"1507","NOS1AP"
"1508","AL450163.1"
"1509","C1orf226"
"1510","UHMK1"
"1511","UAP1"
"1512","DDR2"
"1513","HSD17B7"
"1514","CCDC190"
"1515","RGS4"
"1516","RGS5"
"1517","AL499616.1"
"1518","AL592435.1"
"1519","NUF2"
"1520","PBX1"
"1521","AL391001.1"
"1522","AL357568.1"
"1523","AL357568.2"
"1524","MGST3"
"1525","ALDH9A1"
"1526","TMCO1"
"1527","TMCO1-AS1"
"1528","UCK2"
"1529","AL358115.1"
"1530","FAM78B"
"1531","POGK"
"1532","TADA1"
"1533","ILDR2"
"1534","MAEL"
"1535","GPA33"
"1536","POU2F1"
"1537","AL136984.1"
"1538","CD247"
"1539","CREG1"
"1540","RCSD1"
"1541","MPZL1"
"1542","ADCY10"
"1543","MPC2"
"1544","DCAF6"
"1545","GPR161"
"1546","TIPRL"
"1547","SFT2D2"
"1548","TBX19"
"1549","AL023755.1"
"1550","DPT"
"1551","AL031275.1"
"1552","LINC00626"
"1553","LINC00970"
"1554","ATP1B1"
"1555","NME7"
"1556","Z99758.1"
"1557","BLZF1"
"1558","CCDC181"
"1559","SLC19A2"
"1560","Z99572.1"
"1561","F5"
"1562","SELP"
"1563","C1orf112"
"1564","SELL"
"1565","SELE"
"1566","SCYL3"
"1567","KIFAP3"
"1568","GORAB-AS1"
"1569","GORAB"
"1570","PRRX1"
"1571","BX284613.2"
"1572","MROH9"
"1573","FMO3"
"1574","FMO2"
"1575","FMO1"
"1576","FMO4"
"1577","PRRC2C"
"1578","MYOCOS"
"1579","MYOC"
"1580","VAMP4"
"1581","EEF1AKNMT"
"1582","DNM3"
"1583","DNM3OS"
"1584","AL137157.1"
"1585","PIGC"
"1586","C1orf105"
"1587","SUCO"
"1588","AL031599.1"
"1589","TNFSF4"
"1590","AL645568.1"
"1591","PRDX6"
"1592","SLC9C2"
"1593","AL139142.1"
"1594","ANKRD45"
"1595","KLHL20"
"1596","CENPL"
"1597","DARS2"
"1598","GAS5"
"1599","GAS5-AS1"
"1600","ZBTB37"
"1601","RC3H1"
"1602","RC3H1-IT1"
"1603","RABGAP1L-DT"
"1604","RABGAP1L"
"1605","GPR52"
"1606","RABGAP1L-IT1"
"1607","Z99127.1"
"1608","CACYBP"
"1609","MRPS14"
"1610","TNN"
"1611","KIAA0040"
"1612","LINC02803"
"1613","COP1"
"1614","AL591043.2"
"1615","PAPPA2"
"1616","LINC01645"
"1617","AL136114.1"
"1618","SEC16B"
"1619","RASAL2-AS1"
"1620","RASAL2"
"1621","C1orf220"
"1622","RALGPS2"
"1623","ANGPTL1"
"1624","FAM20B"
"1625","TOR3A"
"1626","ABL2"
"1627","SOAT1"
"1628","AXDND1"
"1629","AL160286.3"
"1630","NPHS2"
"1631","TDRD5"
"1632","FAM163A"
"1633","TOR1AIP2"
"1634","AL353708.3"
"1635","TOR1AIP1"
"1636","AL353708.1"
"1637","CEP350"
"1638","QSOX1"
"1639","LHX4"
"1640","ACBD6"
"1641","XPR1"
"1642","KIAA1614"
"1643","AL162431.1"
"1644","KIAA1614-AS1"
"1645","STX6"
"1646","MR1"
"1647","CACNA1E"
"1648","LINC01344"
"1649","GLUL"
"1650","RGSL1"
"1651","RNASEL"
"1652","RGS16"
"1653","NPL"
"1654","AL355999.1"
"1655","DHX9"
"1656","SHCBP1L"
"1657","LAMC1"
"1658","LAMC1-AS1"
"1659","LAMC2"
"1660","NMNAT2"
"1661","AL354953.1"
"1662","SMG7"
"1663","NCF2"
"1664","ARPC5"
"1665","RGL1"
"1666","APOBEC4"
"1667","COLGALT2"
"1668","TSEN15"
"1669","AL158011.1"
"1670","C1orf21"
"1671","AL713852.1"
"1672","EDEM3"
"1673","NIBAN1"
"1674","RNF2"
"1675","TRMT1L"
"1676","SWT1"
"1677","IVNS1ABP"
"1678","LINC01350"
"1679","AL133383.1"
"1680","HMCN1"
"1681","PRG4"
"1682","TPR"
"1683","ODR4"
"1684","AL096803.2"
"1685","PDC"
"1686","PLA2G4A"
"1687","ERVMER61-1"
"1688","LINC01701"
"1689","BRINP3"
"1690","AL354771.1"
"1691","AL138927.1"
"1692","RGS18"
"1693","AL390957.1"
"1694","RGS13"
"1695","RGS2"
"1696","UCHL5"
"1697","RO60"
"1698","GLRX2"
"1699","CDC73"
"1700","B3GALT2"
"1701","LINC01031"
"1702","AL138778.1"
"1703","AL136456.1"
"1704","AL353072.2"
"1705","KCNT2"
"1706","CFH"
"1707","ASPM"
"1708","ZBTB41"
"1709","CRB1"
"1710","DENND1B"
"1711","AL365258.1"
"1712","C1orf53"
"1713","LHX9"
"1714","NEK7"
"1715","AL450352.1"
"1716","ATP6V1G3"
"1717","PTPRC"
"1718","MIR181A1HG"
"1719","NR5A2"
"1720","LINC00862"
"1721","AC104461.1"
"1722","ZNF281"
"1723","AL359834.1"
"1724","DDX59"
"1725","DDX59-AS1"
"1726","CAMSAP2"
"1727","INAVA"
"1728","CACNA1S"
"1729","TMEM9"
"1730","IGFN1"
"1731","PKP1"
"1732","TNNT2"
"1733","LAD1"
"1734","TNNI1"
"1735","PHLDA3"
"1736","CSRP1"
"1737","AC096677.1"
"1738","NAV1"
"1739","IPO9-AS1"
"1740","IPO9"
"1741","SHISA4"
"1742","LMOD1"
"1743","TIMM17A"
"1744","RNPEP"
"1745","ELF3-AS1"
"1746","ELF3"
"1747","AL691482.3"
"1748","ARL8A"
"1749","PTPN7"
"1750","LGR6"
"1751","UBE2T"
"1752","PPP1R12B"
"1753","SYT2"
"1754","AC104463.2"
"1755","KDM5B"
"1756","PCAT6"
"1757","RABIF"
"1758","KLHL12"
"1759","ADIPOR1"
"1760","CYB5R1"
"1761","TMEM183A"
"1762","PPFIA4"
"1763","ADORA1"
"1764","CHI3L1"
"1765","LINC01353"
"1766","BTG2"
"1767","FMOD"
"1768","PRELP"
"1769","ATP2B4"
"1770","LAX1"
"1771","ZC3H11A"
"1772","ZBED6"
"1773","SNRPE"
"1774","AL592146.2"
"1775","SOX13"
"1776","ETNK2"
"1777","REN"
"1778","KISS1"
"1779","GOLT1A"
"1780","PLEKHA6"
"1781","AL606489.1"
"1782","PPP1R15B"
"1783","PIK3C2B"
"1784","MDM4"
"1785","AL512306.3"
"1786","LRRN2"
"1787","AL512306.2"
"1788","NFASC"
"1789","TMEM81"
"1790","RBBP5"
"1791","DSTYK"
"1792","TMCC2"
"1793","NUAK2"
"1794","LEMD1"
"1795","BLACAT1"
"1796","CDK18"
"1797","MFSD4A"
"1798","ELK4"
"1799","SLC45A3"
"1800","NUCKS1"
"1801","RAB29"
"1802","SLC41A1"
"1803","AC119673.2"
"1804","PM20D1"
"1805","SLC26A9"
"1806","RAB7B"
"1807","RHEX"
"1808","AC244035.1"
"1809","FAM72A"
"1810","SRGAP2"
"1811","IKBKE"
"1812","C1orf147"
"1813","RASSF5"
"1814","EIF2D"
"1815","DYRK3"
"1816","MAPKAPK2"
"1817","IL19"
"1818","FCMR"
"1819","PIGR"
"1820","FCAMR"
"1821","C1orf116"
"1822","PFKFB2"
"1823","YOD1"
"1824","C4BPA"
"1825","AL596218.1"
"1826","CD55"
"1827","CR1"
"1828","AL137789.1"
"1829","CR1L"
"1830","CD46"
"1831","MIR29B2CHG"
"1832","CD34"
"1833","LINC02767"
"1834","PLXNA2"
"1835","MIR205HG"
"1836","CAMK1G"
"1837","LAMB3"
"1838","HSD11B1-AS1"
"1839","HSD11B1"
"1840","TRAF3IP3"
"1841","C1orf74"
"1842","IRF6"
"1843","UTP25"
"1844","SYT14"
"1845","AL022397.1"
"1846","SERTAD4-AS1"
"1847","SERTAD4"
"1848","HHAT"
"1849","AL034351.4"
"1850","AL034351.3"
"1851","KCNH1"
"1852","AC092017.4"
"1853","RCOR3"
"1854","TRAF5"
"1855","AL590101.1"
"1856","LINC00467"
"1857","SLC30A1"
"1858","AC096637.2"
"1859","LPGAT1"
"1860","INTS7"
"1861","DTL"
"1862","PPP2R5A"
"1863","AL360091.2"
"1864","AL360091.3"
"1865","PACC1"
"1866","NENF"
"1867","AC092803.1"
"1868","ATF3"
"1869","NSL1"
"1870","TATDN3"
"1871","SPATA45"
"1872","FLVCR1-DT"
"1873","FLVCR1"
"1874","VASH2"
"1875","ANGEL2"
"1876","RPS6KC1"
"1877","AL592402.1"
"1878","PROX1-AS1"
"1879","PROX1"
"1880","LINC02775"
"1881","SMYD2"
"1882","AL929236.1"
"1883","PTPN14"
"1884","KCNK2"
"1885","KCTD3"
"1886","USH2A"
"1887","ESRRG"
"1888","GPATCH2"
"1889","SPATA17"
"1890","RRP15"
"1891","TGFB2"
"1892","C1orf143"
"1893","LYPLAL1-DT"
"1894","LYPLAL1"
"1895","AL360093.1"
"1896","AC096642.1"
"1897","AC096642.2"
"1898","LYPLAL1-AS1"
"1899","ZC3H11B"
"1900","SLC30A10"
"1901","EPRS"
"1902","BPNT1"
"1903","IARS2"
"1904","RAB3GAP2"
"1905","MARK1"
"1906","C1orf115"
"1907","MARC2"
"1908","MARC1"
"1909","HLX-AS1"
"1910","HLX"
"1911","DUSP10"
"1912","LINC02474"
"1913","AL356108.1"
"1914","AL513314.2"
"1915","TAF1A"
"1916","TAF1A-AS1"
"1917","MIA3"
"1918","AL592148.3"
"1919","AIDA"
"1920","BROX"
"1921","FAM177B"
"1922","AL392172.2"
"1923","AL392172.1"
"1924","DISP1"
"1925","AL929091.1"
"1926","TLR5"
"1927","AL359979.1"
"1928","SUSD4"
"1929","CAPN8"
"1930","CAPN2"
"1931","TP53BP2"
"1932","FBXO28"
"1933","DEGS1"
"1934","AC092809.4"
"1935","NVL"
"1936","CNIH4"
"1937","WDR26"
"1938","CNIH3"
"1939","AL391811.1"
"1940","DNAH14"
"1941","LBR"
"1942","LINC02765"
"1943","ENAH"
"1944","AC099066.2"
"1945","AC099066.1"
"1946","SRP9"
"1947","EPHX1"
"1948","AL591895.1"
"1949","TMEM63A"
"1950","LEFTY1"
"1951","PYCR2"
"1952","SDE2"
"1953","AL512343.2"
"1954","LINC01703"
"1955","ACBD3"
"1956","ACBD3-AS1"
"1957","LIN9"
"1958","PARP1"
"1959","AL359704.3"
"1960","STUM"
"1961","ITPKB"
"1962","ITPKB-AS1"
"1963","PSEN2"
"1964","COQ8A"
"1965","CDC42BPA"
"1966","AL353689.3"
"1967","AL451047.1"
"1968","AL627308.3"
"1969","ZNF678"
"1970","SNAP47"
"1971","JMJD4"
"1972","WNT9A"
"1973","WNT3A"
"1974","ARF1"
"1975","C1orf35"
"1976","MRPL55"
"1977","AL136379.1"
"1978","GUK1"
"1979","GJC2"
"1980","IBA57-DT"
"1981","IBA57"
"1982","OBSCN-AS1"
"1983","OBSCN"
"1984","AL353593.1"
"1985","AL353593.2"
"1986","AL353593.3"
"1987","AL670729.3"
"1988","TRIM11"
"1989","AL139288.1"
"1990","TRIM17"
"1991","RNF187"
"1992","RHOU"
"1993","LINC02814"
"1994","AL162595.1"
"1995","RAB4A"
"1996","AL117350.1"
"1997","CCSAP"
"1998","NUP133"
"1999","ABCB10"
"2000","TAF5L"
"2001","URB2"
"2002","GALNT2"
"2003","AL136988.2"
"2004","PGBD5"
"2005","COG2"
"2006","AL158214.2"
"2007","AGT"
"2008","AL512328.1"
"2009","CAPN9"
"2010","C1orf198"
"2011","AL118511.1"
"2012","TTC13"
"2013","ARV1"
"2014","FAM89A"
"2015","C1orf131"
"2016","GNPAT"
"2017","EXOC8"
"2018","SPRTN"
"2019","EGLN1"
"2020","AL445524.1"
"2021","TSNAX"
"2022","LINC00582"
"2023","DISC1"
"2024","AL136171.2"
"2025","SIPA1L2"
"2026","MAP10"
"2027","NTPCR"
"2028","PCNX2"
"2029","MAP3K21"
"2030","KCNK1"
"2031","AL357972.1"
"2032","SLC35F3"
"2033","AL355472.2"
"2034","AL355472.3"
"2035","COA6-AS1"
"2036","COA6"
"2037","TARBP1"
"2038","IRF2BP2"
"2039","AL160408.2"
"2040","AL391832.4"
"2041","AL391832.2"
"2042","LINC01348"
"2043","TOMM20"
"2044","RBM34"
"2045","ARID4B"
"2046","GGPS1"
"2047","TBCE"
"2048","TBCE.1"
"2049","B3GALNT2"
"2050","GNG4"
"2051","LYST"
"2052","NID1"
"2053","GPR137B"
"2054","ERO1B"
"2055","EDARADD"
"2056","LGALS8"
"2057","AL359921.2"
"2058","AL359921.1"
"2059","HEATR1"
"2060","ACTN2"
"2061","MTR"
"2062","RYR2"
"2063","AL356010.2"
"2064","LINC01139"
"2065","CHRM3"
"2066","CHRM3-AS2"
"2067","CHRM3-AS1"
"2068","AL356361.2"
"2069","FMN2"
"2070","GREM2"
"2071","RGS7"
"2072","AL359764.3"
"2073","FH"
"2074","KMO"
"2075","OPN3"
"2076","CHML"
"2077","WDR64"
"2078","EXO1"
"2079","MAP1LC3C"
"2080","PLD5"
"2081","AL591686.2"
"2082","CEP170"
"2083","AL606534.1"
"2084","SDCCAG8"
"2085","AKT3"
"2086","AL591721.1"
"2087","AKT3-IT1"
"2088","LINC02774"
"2089","ZBTB18"
"2090","AL590483.1"
"2091","C1orf100"
"2092","AL645465.1"
"2093","ADSS"
"2094","CATSPERE"
"2095","DESI2"
"2096","COX20"
"2097","HNRNPU"
"2098","AL356512.1"
"2099","EFCAB2"
"2100","KIF26B"
"2101","KIF26B-AS1"
"2102","SMYD3"
"2103","AC118555.1"
"2104","TFB2M"
"2105","CNST"
"2106","AL591623.1"
"2107","SCCPDH"
"2108","AL591848.4"
"2109","LINC01341"
"2110","AHCTF1"
"2111","ZNF670"
"2112","ZNF669"
"2113","C1orf229"
"2114","ZNF124"
"2115","AL390728.6"
"2116","AL390728.5"
"2117","ZNF496"
"2118","AC104335.1"
"2119","GCSAML"
"2120","AL390860.1"
"2121","TRIM58"
"2122","OR2L2"
"2123","OR2T2"
"2124","OR2G6"
"2125","AC098483.1"
"2126","OR2T10"
"2127","OR2T11"
"2128","OR2T35"
"2129","SH3BP5L"
"2130","ZNF672"
"2131","ZNF692"
"2132","PGBD2"
"2133","FAM110C"
"2134","SH3YL1"
"2135","ACP1"
"2136","ALKAL2"
"2137","AC079779.2"
"2138","AC079779.3"
"2139","TMEM18"
"2140","AC092159.2"
"2141","AC092159.1"
"2142","LINC01115"
"2143","SNTG2-AS1"
"2144","SNTG2"
"2145","AC114808.1"
"2146","AC105450.1"
"2147","TPO"
"2148","PXDN"
"2149","LINC01250"
"2150","AC019118.2"
"2151","EIPR1"
"2152","TRAPPC12"
"2153","ADI1"
"2154","AC231981.1"
"2155","AC108488.1"
"2156","RNASEH1"
"2157","RNASEH1-AS1"
"2158","AC108488.3"
"2159","RPS7"
"2160","COLEC11"
"2161","ALLC"
"2162","DCDC2C"
"2163","RSAD2"
"2164","RNF144A"
"2165","AC068481.1"
"2166","AC013460.1"
"2167","LINC00299"
"2168","LINC01814"
"2169","AC011747.1"
"2170","ID2-AS1"
"2171","KIDINS220"
"2172","MBOAT2"
"2173","ASAP2"
"2174","ITGB1BP1"
"2175","CPSF3"
"2176","IAH1"
"2177","ADAM17"
"2178","AC080162.1"
"2179","AC073195.1"
"2180","YWHAQ"
"2181","AC082651.1"
"2182","TAF1B"
"2183","AC010969.2"
"2184","GRHL1"
"2185","AC104794.3"
"2186","KLF11"
"2187","AC104794.5"
"2188","CYS1"
"2189","AC104794.2"
"2190","RRM2"
"2191","AC007240.3"
"2192","HPCAL1"
"2193","ODC1"
"2194","ODC1-DT"
"2195","NOL10"
"2196","AC007314.1"
"2197","RN7SL832P"
"2198","ATP6V1C2"
"2199","PDIA6"
"2200","C2orf50"
"2201","SLC66A3"
"2202","ROCK2"
"2203","AC099344.3"
"2204","E2F6"
"2205","GREB1"
"2206","LPIN1"
"2207","MIR3681HG"
"2208","AC009486.2"
"2209","TRIB2"
"2210","AC064875.1"
"2211","AC093912.1"
"2212","LINC00276"
"2213","LRATD1"
"2214","AC068286.2"
"2215","NBAS"
"2216","DDX1"
"2217","FAM49A"
"2218","RAD51AP2"
"2219","VSNL1"
"2220","SMC6"
"2221","GEN1"
"2222","KCNS3"
"2223","AC079148.3"
"2224","AC079148.1"
"2225","RDH14"
"2226","NT5C1B"
"2227","AC130814.1"
"2228","LINC01376"
"2229","OSR1"
"2230","AC010096.1"
"2231","LINC00954"
"2232","TTC32"
"2233","WDR35"
"2234","AC079145.1"
"2235","MATN3"
"2236","LAPTM4A"
"2237","AC098828.2"
"2238","SDC1"
"2239","PUM2"
"2240","RHOB"
"2241","HS1BP3"
"2242","AC012065.3"
"2243","GDF7"
"2244","AC012065.4"
"2245","LDAH"
"2246","APOB"
"2247","TDRD15"
"2248","AC018742.1"
"2249","AC011752.1"
"2250","AC009411.2"
"2251","AC096570.1"
"2252","AC096570.2"
"2253","AC018467.1"
"2254","KLHL29"
"2255","AC011239.1"
"2256","AC009242.1"
"2257","ATAD2B"
"2258","UBXN2A"
"2259","MFSD2B"
"2260","WDCP"
"2261","FKBP1B"
"2262","SF3B6"
"2263","FAM228B"
"2264","TP53I3"
"2265","PFN4"
"2266","FAM228A"
"2267","ITSN2"
"2268","AC009228.1"
"2269","NCOA1"
"2270","CENPO"
"2271","ADCY3"
"2272","DNAJC27"
"2273","DNAJC27-AS1"
"2274","AC013267.2"
"2275","EFR3B"
"2276","POMC"
"2277","DNMT3A"
"2278","AC012074.1"
"2279","DTNB"
"2280","AC104699.1"
"2281","ASXL2"
"2282","KIF3C"
"2283","RAB10"
"2284","GAREM2"
"2285","HADHA"
"2286","HADHB"
"2287","AC010896.1"
"2288","ADGRF3"
"2289","SELENOI"
"2290","DRC1"
"2291","FAM166C"
"2292","CIB4"
"2293","KCNK3"
"2294","SLC35F6"
"2295","CENPA"
"2296","AC013472.2"
"2297","MAPRE3"
"2298","AC013472.1"
"2299","TMEM214"
"2300","AGBL5"
"2301","AC013403.2"
"2302","OST4"
"2303","EMILIN1"
"2304","KHK"
"2305","CGREF1"
"2306","ABHD1"
"2307","PREB"
"2308","SLC5A6"
"2309","ATRAID"
"2310","CAD"
"2311","TRIM54"
"2312","UCN"
"2313","MPV17"
"2314","GTF3C2"
"2315","GTF3C2-AS1"
"2316","AC074117.1"
"2317","EIF2B4"
"2318","SNX17"
"2319","ZNF513"
"2320","PPM1G"
"2321","NRBP1"
"2322","KRTCAP3"
"2323","IFT172"
"2324","FNDC4"
"2325","GCKR"
"2326","C2orf16"
"2327","ZNF512"
"2328","CCDC121"
"2329","GPN1"
"2330","SUPT7L"
"2331","SLC4A1AP"
"2332","LINC01460"
"2333","MRPL33"
"2334","RBKS"
"2335","BABAM2"
"2336","AC093690.1"
"2337","AC104695.2"
"2338","FOSL2"
"2339","AC104695.4"
"2340","PLB1"
"2341","AC074011.1"
"2342","AC092164.1"
"2343","PPP1CB"
"2344","SPDYA"
"2345","TRMT61B"
"2346","WDR43"
"2347","TOGARAM2"
"2348","PCARE"
"2349","AC105398.1"
"2350","CLIP4"
"2351","ALK"
"2352","AC016907.2"
"2353","AC106870.1"
"2354","YPEL5"
"2355","LBH"
"2356","LINC01936"
"2357","LCLAT1"
"2358","CAPN13"
"2359","AC009301.1"
"2360","GALNT14"
"2361","AC009305.1"
"2362","CAPN14"
"2363","EHD3"
"2364","XDH"
"2365","SRD5A2"
"2366","MEMO1"
"2367","DPY30"
"2368","SPAST"
"2369","AL121658.1"
"2370","SLC30A6"
"2371","NLRC4"
"2372","YIPF4"
"2373","AL133245.1"
"2374","BIRC6"
"2375","AL133243.2"
"2376","AL133243.3"
"2377","AL133243.1"
"2378","TTC27"
"2379","LINC00486"
"2380","AL133244.2"
"2381","LTBP1"
"2382","AC019127.1"
"2383","RASGRP3"
"2384","AC020594.1"
"2385","FAM98A"
"2386","AC017050.1"
"2387","LINC01320"
"2388","AC073218.1"
"2389","AC012593.1"
"2390","AC079352.1"
"2391","CRIM1-DT"
"2392","CRIM1"
"2393","AC007378.1"
"2394","FEZ2"
"2395","VIT"
"2396","STRN"
"2397","HEATR5B"
"2398","GPATCH11"
"2399","EIF2AK2"
"2400","CEBPZOS"
"2401","CEBPZ"
"2402","AC007390.2"
"2403","NDUFAF7"
"2404","PRKD3"
"2405","QPCT"
"2406","AC006369.1"
"2407","CDC42EP3"
"2408","LINC00211"
"2409","RMDN2"
"2410","RMDN2-AS1"
"2411","CYP1B1"
"2412","CYP1B1-AS1"
"2413","AC009229.2"
"2414","AC009229.1"
"2415","ATL2"
"2416","LINC02613"
"2417","HNRNPLL"
"2418","GALM"
"2419","SRSF7"
"2420","GEMIN6"
"2421","DHX57"
"2422","MORN2"
"2423","ARHGEF33"
"2424","SOS1"
"2425","SOS1-IT1"
"2426","CDKL4"
"2427","MAP4K3"
"2428","AC007684.2"
"2429","MAP4K3-DT"
"2430","TMEM178A"
"2431","THUMPD2"
"2432","SLC8A1-AS1"
"2433","SLC8A1"
"2434","AC007877.1"
"2435","AC007317.1"
"2436","AC007317.2"
"2437","PKDCC"
"2438","AC083949.1"
"2439","EML4"
"2440","COX7A2L"
"2441","KCNG3"
"2442","MTA3"
"2443","OXER1"
"2444","HAAO"
"2445","AC016735.1"
"2446","LINC01819"
"2447","LINC02580"
"2448","ZFP36L2"
"2449","LINC01126"
"2450","AC010883.1"
"2451","THADA"
"2452","PLEKHH2"
"2453","DYNC2LI1"
"2454","ABCG5"
"2455","ABCG8"
"2456","LRPPRC"
"2457","PPM1B"
"2458","SLC3A1"
"2459","PREPL"
"2460","CAMKMT"
"2461","LINC01833"
"2462","LINC01121"
"2463","AC009236.1"
"2464","SRBD1"
"2465","PRKCE"
"2466","EPAS1"
"2467","ATP6V1E2"
"2468","RHOQ"
"2469","AC018682.1"
"2470","PIGF"
"2471","CRIPT"
"2472","LINC01118"
"2473","SOCS5"
"2474","LINC01119"
"2475","AC016722.2"
"2476","MCFD2"
"2477","TTC7A"
"2478","AC093732.1"
"2479","STPG4"
"2480","CALM2"
"2481","EPCAM-DT"
"2482","EPCAM"
"2483","MSH2"
"2484","KCNK12"
"2485","MSH6"
"2486","FBXO11"
"2487","AC079807.1"
"2488","AC092650.1"
"2489","FOXN2"
"2490","PPP1R21"
"2491","STON1"
"2492","STON1-GTF2A1L"
"2493","LHCGR"
"2494","AC009975.1"
"2495","FSHR"
"2496","AC009975.2"
"2497","AC010967.1"
"2498","ASB3"
"2499","CHAC2"
"2500","ERLEC1"
"2501","GPR75"
"2502","PSME4"
"2503","ACYP2"
"2504","AC008280.3"
"2505","C2orf73"
"2506","SPTBN1"
"2507","AC092839.1"
"2508","AC093110.1"
"2509","EML6"
"2510","AC104781.2"
"2511","RTN4"
"2512","CLHC1"
"2513","MTIF2"
"2514","AC012358.3"
"2515","CCDC88A"
"2516","CFAP36"
"2517","PPP4R3B"
"2518","AC015982.2"
"2519","PNPT1"
"2520","EFEMP1"
"2521","AC011306.1"
"2522","MIR217HG"
"2523","AC007743.1"
"2524","CCDC85A"
"2525","AC132153.1"
"2526","VRK2"
"2527","AC068193.1"
"2528","FANCL"
"2529","LINC01122"
"2530","AC007100.1"
"2531","AC007381.1"
"2532","BCL11A"
"2533","PAPOLG"
"2534","LINC01185"
"2535","REL"
"2536","PUS10"
"2537","PEX13"
"2538","KIAA1841"
"2539","AC016747.1"
"2540","C2orf74"
"2541","AC016747.2"
"2542","USP34"
"2543","AC016727.1"
"2544","XPO1"
