Index,Data_Type,Cluster_Label,Silhouette_Score
SLC26A3,Train,0,0.9469947672400498
AC006296.2,Train,0,0.9463592977374831
AC009495.2,Train,0,0.946473853472313
TRPM8,Train,0,0.9475087861145812
TXNRD1,Train,0,0.7810350462888667
AP002381.2,Train,0,0.9476141706509081
XIST,Train,1,0.34743328602644175
PCBP1-AS1,Train,0,0.6827857332568578
ATP2B3,Train,0,0.9474649212637515
FKBP1A,Train,0,0.905802677953291
AC002519.1,Train,0,0.9468603984621919
ZNF845,Train,0,0.9476487483088292
AC009495.3,Train,0,0.9473794084328366
AC051619.7,Train,0,0.946393933638848
AC004477.3,Train,0,0.9466491378793483
AFAP1L1,Train,0,0.9277406710996883
AC006148.2,Train,0,0.9466327966997053
PACSIN3,Train,0,0.9478855840399018
ASTN2-AS1,Train,0,0.9471077476666427
VSTM2A-OT1,Train,0,0.9464327590851527
HHAT,Train,0,0.7788212682562701
RPUSD2,Train,0,0.9480098254260572
AC104794.2,Train,0,0.9467787239493933
AC012555.2,Train,0,0.9465361975201952
NXT1,Train,0,0.9473160552049679
CGN,Train,0,0.926197423676834
ADGRF2,Train,0,0.9465426388280147
AC079142.1,Train,1,0.21058120500703847
ANKRD36,Train,0,0.3452930752450497
C7orf77,Train,0,0.9463799872040205
MLLT3,Train,1,0.4656194585724475
AC011365.1,Train,0,0.9469327244386126
AC112219.2,Train,0,0.9464056595782553
PF4V1,Train,0,0.9467571648907827
MAGEC3,Train,0,0.9476427399616245
AC068616.2,Train,0,0.9463964204718802
AL390755.1,Train,0,0.9471610948439704
BRICD5,Train,0,0.9476288292423463
PLCE1-AS2,Train,0,0.9472214260565174
DOCK1,Train,1,0.5019857412623814
HAGHL,Train,0,0.9459945533840614
CHMP1A,Train,0,0.9139690007254028
DYNLT3,Train,0,0.9416378806348469
ADIPOQ,Train,0,0.9467251529781203
OR8A1,Train,0,0.9465059052406718
IFT27,Train,0,0.9423183227321084
LINC02506,Train,0,0.9452671297046981
MACROD1,Train,0,0.8718182873301217
SMIM24,Train,0,0.9435202886347482
GGT6,Train,0,0.9459483253099875
ALPK2,Train,0,0.20114604308930292
AMELY,Train,0,0.9465291641626007
USP5,Train,0,0.9448307942428841
ZFAND3,Train,1,0.3348522856609763
LRRC71,Train,0,0.9466708110871312
POLR1D,Train,0,0.9108857416607958
KATNAL2,Train,0,0.807704024002014
C4orf47,Train,0,0.9308994509874604
CACNG2,Train,0,0.9471522583719374
SLC37A4,Train,0,0.9358125285807186
ADAMTS16,Train,0,0.6216676220616095
PLXNA2,Train,0,0.6781149647193265
AC005550.2,Train,0,0.9464618371696496
AL023284.4,Train,0,0.9481181870314703
FER1L6,Train,0,0.9256910788571517
AC093535.1,Train,0,0.918617929612517
AP000266.1,Train,0,0.9466544070479306
AC092652.3,Train,0,0.9464605442519467
AL355073.2,Train,0,0.9477329891526867
PEX19,Train,0,0.9475295207850452
MIDN,Train,0,0.7273923644054983
AC010680.4,Train,0,0.9481508344839195
LINC00326,Train,0,0.9468125532765597
S1PR1,Train,0,0.9479154914492018
B3GNT7,Train,0,0.9472718928945529
SNRNP48,Train,0,0.9238111931650977
LINC01780,Train,0,0.9479390729571332
PHEX-AS1,Train,0,0.9468992939465047
C14orf28,Train,0,0.9479466211657069
INHBC,Train,0,0.9469126416655443
PLIN5,Train,0,0.8080141272703119
BFAR,Train,0,0.9220630340860576
C19orf81,Train,0,0.947373307358443
AC105213.1,Train,0,0.9465947728997973
AC105180.2,Train,0,0.9474714609593837
SMIM10,Train,0,0.9472169755523957
AC131159.1,Train,0,0.9463674334331114
CCDC9,Train,0,0.9381495582207708
BCAM,Train,0,0.8237761694796712
FAM72D,Train,0,0.946870680707146
NCAPD2,Train,0,0.9295397458528019
AC025810.1,Train,0,0.9051946878321613
NME9,Train,0,0.9432995304317444
DMXL2,Train,0,0.27968451284736906
AL445309.1,Train,0,0.9465614865707835
